id,count
投诉.政府服务.环境污染.电磁辐射污染.c-4581,1232
投诉.政府服务.住房.物业管理.others,21721
投诉.政府服务.住房.市场管理,1600
投诉.公共服务.井盖.c-10792,12952
投诉.政府服务.医疗卫生.医疗服务,4174
投诉.政府服务.住房.质量,322
投诉.政府服务.消费维权.商品质量.c-18276,3516
投诉.政府服务.教育.学校管理.c-15549,5079
投诉.政府服务.住房.物业管理,66022
投诉.政府服务.户口.进津.others,80
投诉.政府服务.住房.困难,94
投诉.政府服务.城市管理.市容环卫.c-19194,1723
投诉.政府服务.消费维权.商品质量.c-17948,7223
投诉.政府服务.民政.社会福利事业.others,120
投诉.政府服务.医疗卫生.计划生育,1515
投诉.公共服务.供电.c-11097,1555
投诉.政府服务.水务.排水.others,918
投诉.政府服务.农村管理.宅基地,4758
投诉.公共服务.供水.c-717,13611
投诉.政府服务.户口.市内迁移.c-1333,2988
投诉.公共服务.供水.c-711,6012
投诉.政府服务.交通.小客车调控.others,369
投诉.公共服务.供电.c-11105,4173
投诉.政府服务.环境污染.噪声污染,23349
投诉.政府服务.医疗卫生.药品管理,1562
投诉.政府服务.社会治安.群体事件,15
投诉.政府服务.城市管理.市容环卫.c-18936,2852
投诉.政府服务.城市管理.园林绿化,25105
投诉.政府服务.城市管理.市容环卫.c-18934,1923
投诉.公共服务.出租车.c-3782,28681
投诉.政府服务.农村管理.征地补偿,2422
投诉.政府服务.消费维权.直销、传销,2291
投诉.政府服务.环境污染.电磁辐射污染.others,414
投诉.政府服务.户口.出生落户.others,131
投诉.公共服务.出租车.c-3773,25094
投诉.政府服务.交通.车辆管理.c-12942,3994
投诉.政府服务.施工扰民.市政工程施工,8220
投诉.政府服务.环境污染.固体废物污染.others,3320
投诉.政府服务.住房.房屋管理.c-1809,2022
投诉.政府服务.住房.房屋管理.c-1808,1356
投诉.政府服务.城市管理.市容环卫,71315
投诉.政府服务.施工扰民.建筑工地施工.others,3153
投诉.政府服务.教育.招生考试,1561
投诉.政府服务.农村管理.承包合同.others,66
